127.0.0.1 - - [24/Dec/2023:00:08:30 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:30:30 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2630
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:30:50 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2634
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:31:12 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2656
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:32:05 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2640
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:32:23 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:32:24 +0530] "GET /NoteTakerToDoList/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:32:43 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2633
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:32:57 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2633
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:33:14 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:33:35 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:33:40 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2569
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:34:22 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:34:25 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:34:25 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:34:25 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:34:25 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:34:25 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:34:25 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:34:26 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:34:26 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:34:26 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:34:35 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:34:46 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:34:48 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:34:48 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:34:48 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:34:49 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:34:49 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:34:49 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:34:57 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2616
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:35:04 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2616
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:35:41 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2665
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:36:35 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2647
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:38:00 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2940
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:38:00 +0530] "GET /NoteTakerToDoList/img/notes.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:38:11 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2940
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:38:26 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2953
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:38:34 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2958
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:38:36 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2958
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:38:36 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2958
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:38:48 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2958
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:39:05 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2958
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:45:32 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2958
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:45:34 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 2958
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:45:42 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 3257
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:46:05 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 3858
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:46:32 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 3890
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:47:54 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 3950
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:48:08 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 3951
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:48:22 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 3954
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:48:29 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 3952
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:49:14 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 3953
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:49:14 +0530] "GET /NoteTakerToDoList/img/37690A.jpg HTTP/1.1" 200 164108
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:49:20 +0530] "GET /NoteTakerToDoList/add_notes.jsp HTTP/1.1" 200 3206
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:49:22 +0530] "GET /NoteTakerToDoList/index.jsp HTTP/1.1" 200 2896
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:49:23 +0530] "GET /NoteTakerToDoList/add_notes.jsp HTTP/1.1" 200 3206
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:49:26 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 3953
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:49:26 +0530] "GET /NoteTakerToDoList/img/37690A.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:50:48 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 3959
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:50:48 +0530] "GET /NoteTakerToDoList/img/37690A.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:50:58 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 3959
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:51:05 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 3959
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:51:05 +0530] "GET /NoteTakerToDoList/img/37690A.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:51:13 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 3959
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:51:42 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 3971
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:51:42 +0530] "GET /NoteTakerToDoList/img/37690A.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:51:48 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 3963
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:51:56 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 3967
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:52:39 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 3989
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:52:39 +0530] "GET /NoteTakerToDoList/img/37690A.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:53:20 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 3976
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:53:20 +0530] "GET /NoteTakerToDoList/img/37690A.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:53:30 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 3976
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:53:50 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 3976
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:53:50 +0530] "GET /NoteTakerToDoList/img/37690A.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:54:15 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 3976
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:54:17 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 3976
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:54:18 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 3976
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:54:18 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 3976
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:54:18 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 3976
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:54:47 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 3986
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:54:47 +0530] "GET /NoteTakerToDoList/img/37690A.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:55:01 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 3976
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:55:13 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 3975
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:55:42 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 3993
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:55:42 +0530] "GET /NoteTakerToDoList/img/37690A.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:55:50 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 3993
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:56:16 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 3992
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:56:16 +0530] "GET /NoteTakerToDoList/img/notes.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:56:49 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 3992
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:56:55 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 3992
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:57:00 +0530] "GET /NoteTakerToDoList/index.jsp HTTP/1.1" 200 2896
